2025-04-05 17:38:18.095 [http-nio-8080-exec-9] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (before): updateTask
2025-04-05 17:38:18.102 [http-nio-8080-exec-9] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (after): updateTask. Measuring the execution time : 6ms
2025-04-05 17:42:03.469 [http-nio-8080-exec-1] INFO  r.b.aop.taskaop.aspect.LogAspect - Started method : getTasks
2025-04-05 17:43:45.716 [http-nio-8080-exec-3] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (before): updateTask
2025-04-05 17:43:45.814 [http-nio-8080-exec-3] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (after): updateTask. Measuring the execution time : 97ms
2025-04-05 17:43:45.819 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (before): listenTasksStatus
2025-04-05 17:43:45.820 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  r.b.aop.taskaop.aspect.LogAspect - Around method (after): listenTasksStatus. Measuring the execution time : 1ms
2025-04-05 17:43:56.260 [http-nio-8080-exec-4] INFO  r.b.aop.taskaop.aspect.LogAspect - Started method : getTasks
2025-04-06 01:29:53.450 [http-nio-8080-exec-5] INFO  r.b.aop.taskaop.aspect.LogAspect - Started method : getTasks
2025-04-06 17:57:53.008 [http-nio-8080-exec-7] INFO  r.b.aop.taskaop.aspect.LogAspect - Started method : getTasks
2025-04-06 17:58:47.137 [http-nio-8080-exec-8] INFO  r.b.aop.taskaop.aspect.LogAspect - AfterReturning method: createTask, Result: TasksDto(tasksId=23de15aa-4e6b-465d-a883-e39603d6d461, title=Добавить новую задачу, description=Подробное описание новой задачи, userId=33333333-3333-3333-3333-333333333331, status=PENDING, createdAt=2025-04-06T17:58:46.828232, updatedAt=2025-04-06T17:58:46.828232, isActive=true)
2025-04-06 18:00:11.665 [http-nio-8080-exec-10] INFO  r.b.aop.taskaop.aspect.LogAspect - AfterReturning method: createTask, Result: TasksDto(tasksId=fc017a4d-013c-4d75-9b61-dae2bf9a3166, title=Добавить новую задачу 222, description=Подробное описание новой задачи, userId=33333333-3333-3333-3333-333333333331, status=PENDING, createdAt=2025-04-06T18:00:11.615550, updatedAt=2025-04-06T18:00:11.615550, isActive=true)
